,APOBEC 2 ,Background  
MMRF_2059_2_BM,0.184779614,0.815220386
MMRF_1327_1_BM,0.184665752,0.815334248
MMRF_2814_1_BM,0.184389974,0.815610026
MMRF_1667_1_BM,0.184062378,0.815937622
MMRF_1285_3_BM,0.184054693,0.815945307
MMRF_1929_1_BM,0.183602331,0.816397669
MMRF_1556_1_BM,0.183519424,0.816480576
MMRF_1871_1_BM,0.183061622,0.816938378
MMRF_2523_2_BM,0.182371871,0.817628129
MMRF_1308_2_BM,0.182030315,0.817969685
MMRF_1832_1_BM,0.181956921,0.818043079
MMRF_2642_1_BM,0.181852087,0.818147913
MMRF_1293_4_BM,0.181550137,0.818449863
MMRF_2831_1_BM,0.181488734,0.818511266
MMRF_1860_1_BM,0.18106725,0.81893275
MMRF_1030_3_BM,0.180849124,0.819150876
MMRF_2605_1_BM,0.180191708,0.819808292
MMRF_2613_2_BM,0.179164074,0.820835926
MMRF_1082_1_BM,0.178478978,0.821521022
MMRF_2422_1_BM,0.178461833,0.821538167
MMRF_1178_2_BM,0.17800856,0.82199144
MMRF_2637_1_BM,0.177775552,0.822224448
MMRF_2341_1_BM,0.177216864,0.822783136
MMRF_1613_1_BM,0.176884715,0.823115285
MMRF_2310_1_BM,0.176723462,0.823276538
MMRF_1774_1_BM,0.17651961,0.82348039
MMRF_2708_1_BM,0.176404228,0.823595772
MMRF_1201_2_BM,0.175810492,0.824189508
MMRF_2574_1_BM,0.174676033,0.825323967
MMRF_1433_1_BM,0.174175816,0.825824184
MMRF_1730_2_BM,0.173964728,0.826035272
MMRF_1939_1_BM,0.173485191,0.826514809
MMRF_2596_1_BM,0.17344674,0.82655326
MMRF_2364_1_BM,0.172925964,0.827074036
MMRF_2764_1_BM,0.172908946,0.827091054
MMRF_2324_1_BM,0.172157742,0.827842258
MMRF_2562_1_BM,0.171925364,0.828074636
MMRF_2151_1_BM,0.171576866,0.828423134
MMRF_2519_1_BM,0.171539601,0.828460399
MMRF_2727_1_BM,0.171304293,0.828695707
MMRF_1377_1_BM,0.171084023,0.828915977
MMRF_2914_1_BM,0.171065033,0.828934967
MMRF_2808_1_BM,0.170417247,0.829582753
MMRF_2195_2_BM,0.170288108,0.829711892
MMRF_1882_1_BM,0.169940065,0.830059935
MMRF_1565_3_BM,0.169839718,0.830160282
MMRF_1659_1_BM,0.169668724,0.830331276
MMRF_1131_2_BM,0.169597223,0.830402777
MMRF_1178_1_BM,0.169498841,0.830501159
MMRF_1355_5_BM,0.169475923,0.830524077
MMRF_1859_1_BM,0.16933841,0.83066159
MMRF_1803_1_BM,0.168997002,0.831002998
MMRF_1049_2_BM,0.168532914,0.831467086
MMRF_1030_4_BM,0.168431461,0.831568539
MMRF_1768_1_BM,0.168242736,0.831757264
MMRF_2412_1_BM,0.167706875,0.832293125
MMRF_2789_1_BM,0.167669211,0.832330789
MMRF_1689_1_BM,0.167634085,0.832365915
MMRF_2689_1_BM,0.167380636,0.832619364
MMRF_1698_1_BM,0.167341124,0.832658876
MMRF_2549_1_BM,0.166593803,0.833406197
MMRF_1922_1_BM,0.165813041,0.834186959
MMRF_1201_4_BM,0.165700575,0.834299425
MMRF_1519_1_BM,0.165224002,0.834775998
MMRF_1061_3_BM,0.165119383,0.834880617
MMRF_1577_1_BM,0.16505929,0.83494071
MMRF_1564_1_BM,0.164984485,0.835015515
MMRF_2230_1_BM,0.164752117,0.835247883
MMRF_2229_1_BM,0.164701428,0.835298572
MMRF_1650_2_BM,0.164207499,0.835792501
MMRF_1605_3_BM,0.164059237,0.835940763
MMRF_1900_1_BM,0.163592431,0.836407569
MMRF_1293_3_BM,0.163502371,0.836497629
MMRF_1522_2_BM,0.163399262,0.836600738
MMRF_1344_1_BM,0.16337031,0.83662969
