county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Delaware,PA,261.25,2015-2019,42045,9.99,11.91,0.48,3.80,2.62,39,17.30,39.03,21.10,66.81,40026,48.12,564554,29.7,10.47,81948.75,170300810.47381547
Denton,TX,65,2015-2019,48121,7.64,7.95,0.43,19.30,2.83,36,7.87,45.10,9.58,59.25,41153,49.18,833822,28.2,2.56,61298.75,124641622.6108174
Denver,CO,113,2015-2019,08031,12.86,9.59,0.49,29.90,2.29,35,22.28,49.44,8.89,54.17,43770,50.07,705576,28.8,9.84,184438.75,368361793.48911524
District of Columbia,DC,470,2015-2019,11001,16.24,11.67,0.53,11.00,2.30,34,26.33,58.54,45.44,36.58,56147,47.45,692683,28.5,35.87,54008.75,113822444.67860906
Dorchester,SC,60,2015-2019,45035,12.10,12.98,0.43,5.38,2.83,37,17.50,28.20,24.82,64.21,29853,48.69,158299,29.5,3.49,15211.25,31241014.582049705
DuPage,IL,165,2015-2019,17043,6.37,8.04,0.45,14.27,2.67,39,10.80,49.39,4.70,66.90,46272,49.1,929060,28.5,4.14,51855,105610997.96334013
Durham,NC,108.75,2015-2019,37063,15.17,9.67,0.47,13.49,2.36,35,16.30,48.22,35.88,42.47,35398,47.79,311848,29.4,7.85,47713.75,99840447.7924252
Dutchess,NY,104,2015-2019,36027,9.04,12.71,0.45,12.19,2.54,42,17.42,35.05,9.80,71.47,40093,49.72,293754,32.7,7.80,15250,30671761.866452135
Duval,FL,567,2015-2019,12031,14.46,13.30,0.47,9.74,2.55,36,19.39,30.04,29.16,52.88,31327,48.5,936186,29.8,7.78,157827.5,325417525.7731959
El Paso,CO,92.5,2015-2019,08041,10.08,12.37,0.43,17.10,2.65,34,20.23,38.52,5.99,69.10,33728,50.49,698974,30.9,4.20,114815,227401465.63675976
El Paso,TX,92,2015-2019,48141,20.19,13.74,0.46,82.56,3.06,32,23.42,23.31,2.96,11.97,21683,49.24,836062,29.8,6.97,148722.5,302035946.3850528
Erie,NY,349,2015-2019,36029,14.20,13.24,0.47,5.50,2.29,40,23.24,34.36,13.01,75.49,33598,48.38,919355,29.7,13.21,77905,161027284.00165355
Erie,PA,100,2015-2019,42049,16.02,15.33,0.46,4.21,2.36,40,24.58,27.89,6.83,84.23,28306,49.39,273835,28.8,10.97,22013.75,44571269.48775055
Escambia,FL,101.66666666666666,2015-2019,12033,14.03,15.43,0.44,5.68,2.46,37,19.26,26.53,21.75,64.34,28022,49.49,313491,29.5,6.01,84338.75,170415740.5536472
Essex,MA,506,2015-2019,25009,10.36,11.82,0.48,20.93,2.60,41,25.96,39.85,3.22,70.29,42347,48.21,783676,32.3,10.57,56957.5,118144575.81414644
Essex,NJ,485,2015-2019,34013,15.80,11.24,0.56,23.03,2.71,38,23.94,35.46,38.45,30.55,38722,48.09,795404,32.7,22.38,82613.75,171789873.15450197
Fairfax,VA,110,2015-2019,51059,6.12,7.24,0.43,16.33,2.87,38,7.25,61.55,9.48,50.74,56231,49.58,1145862,28.3,4.22,91557.5,184666196.04679307
Fairfield,CT,221,2015-2019,09001,8.89,9.59,0.54,19.70,2.72,41,17.60,47.94,10.62,61.74,57263,48.69,943926,32.5,7.75,0,0
Fayette,KY,167,2015-2019,21067,16.81,12.41,0.49,7.19,2.37,35,19.28,43.65,14.45,71.00,34442,49.04,320601,29.2,7.89,81623.75,166443209.62479606
Fayette,PA,75,2015-2019,42051,17.27,19.72,0.47,1.23,2.30,45,26.23,17.28,4.15,91.76,27368,49.38,131302,28.6,8.13,9360,18955042.527339004
Florence,SC,65,2015-2019,45041,18.41,14.49,0.48,2.64,2.60,39,24.81,23.62,42.53,51.85,26127,46.77,138475,28.1,8.35,39000,83386786.40153944
Forsyth,NC,139,2015-2019,37067,16.84,10.28,0.50,12.81,2.48,38,19.08,34.00,25.67,56.69,30769,47.42,375195,29.5,7.42,58671.25,123726803.03669338
Fort Bend,TX,67.5,2015-2019,48157,7.41,7.21,0.43,24.50,3.19,36,10.29,46.22,20.12,33.09,39994,49.11,765394,29.2,2.22,75263.75,153255446.95581347
Franklin,OH,834,2015-2019,39049,15.71,11.31,0.47,5.52,2.47,34,21.00,40.05,22.30,63.01,33998,48.8,1290360,27.5,7.44,176130,360922131.147541
Franklin,PA,55,2015-2019,42055,9.25,14.34,0.41,5.64,2.51,42,15.99,21.62,3.50,88.08,31221,49.12,154147,25.3,5.63,11038.1375,22471778.298045605
Frederick,MD,91.66666666666666,2015-2019,24021,6.84,10.52,0.40,9.59,2.67,39,12.34,41.40,9.37,73.48,43582,49.28,251422,29.2,3.77,13738.75,27878956.980519477
Fresno,CA,55,2015-2019,06019,22.55,13.15,0.47,53.06,3.14,32,39.59,21.17,4.49,29.42,24422,49.89,984521,33.6,8.29,153281.25,307238424.53397477
Fulton,GA,316,2015-2019,13121,14.37,10.03,0.54,7.22,2.44,36,14.88,52.89,43.61,39.64,47163,48.4,1036200,29.4,10.77,477883.4375,987362474.1735537
Galveston,TX,76.25,2015-2019,48167,12.41,13.21,0.46,24.63,2.69,38,13.43,31.11,12.35,57.36,36819,49.23,332885,29.1,5.13,87807.5,178361771.27767622
Gaston,NC,90,2015-2019,37071,14.45,15.20,0.45,7.01,2.58,40,20.33,21.23,16.17,72.47,27352,48.23,219271,28.0,5.53,62920,130458221.02425878
Genesee,MI,270,2015-2019,26049,18.94,17.39,0.46,3.44,2.40,41,30.73,21.20,19.54,72.44,27295,48.22,407875,30.9,8.98,65657.5,136162380.75487348
Genesee,NY,50,2015-2019,36037,10.87,14.71,0.41,3.30,2.40,43,20.84,22.28,2.02,90.52,30511,50.06,57808,27.1,8.44,9880,19736316.420295645
Gloucester,NJ,305,2015-2019,34015,7.43,13.01,0.42,6.20,2.73,41,14.27,33.00,9.77,78.50,39337,48.56,291165,32.2,5.40,22880,47116968.6985173
Greene,OH,105,2015-2019,39057,11.60,13.10,0.44,2.84,2.40,38,16.48,39.20,6.72,83.81,35833,49.24,166502,26.1,4.54,21902.5,44481112.916328184
Greenville,SC,114,2015-2019,45045,11.46,12.58,0.47,9.15,2.57,38,15.34,35.07,17.46,68.34,32679,48.53,507003,27.5,5.81,104502.5,215335874.7166701
Guilford,NC,195,2015-2019,37081,15.80,11.27,0.48,7.97,2.49,37,18.50,36.03,33.53,50.35,30767,47.36,527868,29.4,6.43,97942.5,206804265.2027027
