"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","COUNTY_NAME","MUNICIPALITY"
"2018093126","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018058193","2","U","U","N","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018072393","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018058180","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018076193","1","N","N","N","Y","1","Y","U","Y","N","00599","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018071760","1","N","Y","N","Y","3","Y","Y","Y","Y","00999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018077464","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018063934","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018087556","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018095875","2","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
