WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,NIC,Nicaragua,pertussis,53,74,90,36,0,0,68,87,24,11,25,51,148,0,0,0,0,0,11,27,6,84,14,8,5,47,333,0,0,0,63,257,458,150,60,68,394,1935,2469
AFR,NER,Niger (the),pertussis,517,283,482,0,0,884,0,983,30,1354,1199,3204,1985,1206,2159,2109,2613,2709,5585,2446,2619,3190,,2967,,,,671,3102,4284,3622,4626,8213,5261,6276,7175,3920,5735,8320
AFR,NGA,Nigeria,pertussis,7897,4244,,6592,9559,8530,11628,0,,11281,13240,12573,10997,15609,10976,,11894,34517,38910,,25057,,24766,,22275,23800,22164,18685,42929,33555,34920,51316,42193,92266,62751,70024,77830,56913,48996
WPR,NIU,Niue,pertussis,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EUR,MKD,North Macedonia,pertussis,,13,4,0,0,1,9,6,2,7,0,0,7,7,1,16,4,5,21,10,,32,20,27,53,38,46,84,,,,,,,,,,,
EUR,NOR,Norway,pertussis,2476,2424,2207,1902,3032,2608,4231,3695,3565,5546,3893,,6587,5536,7737,2765,3170,2574,3417,,,1835,87,71,107,17,124,140,208,225,297,653,789,1227,1375,2969,2110,2017,2003
EMR,OMN,Oman,pertussis,128,276,223,120,165,309,165,88,32,38,58,75,39,36,76,149,96,54,190,205,484,694,73,108,168,233,45,26,49,25,16,5,207,765,830,2605,2776,2236,1534
EMR,PAK,Pakistan,pertussis,0,99,0,0,0,250,60,156,109,164,169,267,313,133,97,167,233,109,160,222,103,238,201,180,411,473,276,140,24545,1324,62382,47676,53835,55659,38677,51680,50932,58280,42947
WPR,PLW,Palau,pertussis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,pertussis,20,5,3,9,19,42,47,36,22,101,108,78,132,28,12,11,88,7,66,212,226,109,44,3,192,209,26,107,19,34,29,45,40,92,161,229,79,103,641
WPR,PNG,Papua New Guinea,pertussis,0,0,0,0,0,3188,6472,4625,4949,2932,,,3051,2692,2050,2123,5002,2099,2280,4773,550,2871,1274,2814,2031,2369,2042,775,2084,2380,2452,1560,2487,1757,1337,2656,1422,2884,2693
AMR,PRY,Paraguay,pertussis,53,44,31,32,101,81,44,11,1,1,7,8,6,13,40,48,36,65,24,29,36,40,40,13,49,272,372,118,115,291,886,251,111,363,795,361,412,459,652
