"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008029176","4","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008069345","2","0","PA","6","8TO2YIL ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008069464","2","0","ZZ","7","UNKNOWN ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008132796","1","0","IA","7","TD3255 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008132938","2","0","","","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133313","2","0","","8","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133314","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133314","2","0","","8","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009026116","1","0","","2","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009029171","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009068519","1","0","NJ","7","TFHJ5M ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008064166","1","0","PA","7","XDG7396 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
