"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008098050","1","1","1","8","99","99","01","0","35","F","0","9","Y","PA","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098094","2","1","7","8","00","00","00","0","23","F","0","0","","","9","05","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2008098094","1","1","1","0","99","99","01","1","48","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098105","2","1","1","4","03","99","01","0","24","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098105","1","1","1","4","99","99","01","0","23","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098150","1","1","1","3","99","01","01","1","44","M","0","0","Y","PA","3","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098175","2","1","1","4","99","00","01","0","24","M","0","0","Y","","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098175","1","1","1","0","99","99","01","0","99","M","0","0","N","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098184","2","1","1","8","99","99","01","0","39","M","0","0","","","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098184","1","1","1","0","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098190","2","1","1","8","99","01","01","0","35","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098190","1","1","1","8","99","01","01","0","20","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098201","2","1","1","3","99","99","01","0","99","F","0","0","Y","NJ","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098201","1","1","1","3","99","01","01","1","31","M","0","0","N","PA","2","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098221","2","2","2","8","99","99","03","1","20","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098221","2","1","1","8","99","99","01","1","26","M","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098221","1","1","1","9","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098222","1","1","1","0","99","99","01","0","36","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098222","2","1","7","3","00","00","00","0","5","M","0","0","Y","","0","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2008098253","2","1","1","8","99","99","01","9","39","F","9","9","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098253","1","1","1","8","99","99","01","9","48","M","9","9","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098273","1","1","1","0","99","12","01","0","47","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098273","2","2","2","0","04","00","06","0","2","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098273","2","1","1","4","99","12","01","0","29","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098375","2","1","1","4","00","00","01","0","19","M","0","0","Y","ZZ","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098375","1","1","9","9","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098392","1","1","1","4","00","00","01","1","30","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098392","2","2","1","4","00","00","01","1","46","M","0","1","N","NJ","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098481","2","2","7","3","00","00","98","0","10","M","0","0","Y","","0","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2008098481","1","1","1","0","00","00","01","0","36","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098630","2","3","2","8","04","00","06","0","1","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098630","2","2","2","9","01","00","99","0","19","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098630","2","1","1","9","01","00","01","0","21","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008098630","1","1","1","8","99","00","01","0","54","M","0","0","Y","PA","4","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009026087","1","1","1","0","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009026087","2","1","1","0","99","99","01","0","50","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009026093","1","2","2","4","00","01","03","1","17","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
